time,swh,time
2000-01-01 00:00:00,0.9018764,2000-01-01 00:00:00
2000-01-01 06:00:00,0.8949001,2000-01-01 06:00:00
2000-01-01 12:00:00,0.88272667,2000-01-01 12:00:00
2000-01-01 18:00:00,0.84257895,2000-01-01 18:00:00
2000-01-02 00:00:00,0.8034317,2000-01-02 00:00:00
2000-01-02 06:00:00,0.77656174,2000-01-02 06:00:00
2000-01-02 12:00:00,0.73881257,2000-01-02 12:00:00
2000-01-02 18:00:00,0.72220665,2000-01-02 18:00:00
2000-01-03 00:00:00,0.74311644,2000-01-03 00:00:00
2000-01-03 06:00:00,0.75137854,2000-01-03 06:00:00
2000-01-03 12:00:00,0.7470133,2000-01-03 12:00:00
2000-01-03 18:00:00,0.73732805,2000-01-03 18:00:00
2000-01-04 00:00:00,0.7449954,2000-01-04 00:00:00
2000-01-04 06:00:00,0.75889546,2000-01-04 06:00:00
2000-01-04 12:00:00,0.73187035,2000-01-04 12:00:00
2000-01-04 18:00:00,0.7065654,2000-01-04 18:00:00
2000-01-05 00:00:00,0.69706094,2000-01-05 00:00:00
2000-01-05 06:00:00,0.73868555,2000-01-05 06:00:00
2000-01-05 12:00:00,0.7139928,2000-01-05 12:00:00
2000-01-05 18:00:00,0.68822247,2000-01-05 18:00:00
2000-01-06 00:00:00,0.6690698,2000-01-06 00:00:00
2000-01-06 06:00:00,0.6700538,2000-01-06 06:00:00
2000-01-06 12:00:00,0.65856117,2000-01-06 12:00:00
2000-01-06 18:00:00,0.6418974,2000-01-06 18:00:00
2000-01-07 00:00:00,0.59116155,2000-01-07 00:00:00
2000-01-07 06:00:00,0.5683806,2000-01-07 06:00:00
2000-01-07 12:00:00,0.5670434,2000-01-07 12:00:00
2000-01-07 18:00:00,0.57794404,2000-01-07 18:00:00
2000-01-08 00:00:00,0.5986379,2000-01-08 00:00:00
2000-01-08 06:00:00,0.65186244,2000-01-08 06:00:00
2000-01-08 12:00:00,0.70248115,2000-01-08 12:00:00
2000-01-08 18:00:00,0.70003957,2000-01-08 18:00:00
2000-01-09 00:00:00,0.6955336,2000-01-09 00:00:00
2000-01-09 06:00:00,0.67943585,2000-01-09 06:00:00
2000-01-09 12:00:00,0.6733175,2000-01-09 12:00:00
2000-01-09 18:00:00,0.6583739,2000-01-09 18:00:00
2000-01-10 00:00:00,0.6308946,2000-01-10 00:00:00
2000-01-10 06:00:00,0.6093213,2000-01-10 06:00:00
2000-01-10 12:00:00,0.5993372,2000-01-10 12:00:00
2000-01-10 18:00:00,0.5842634,2000-01-10 18:00:00
2000-01-11 00:00:00,0.58109206,2000-01-11 00:00:00
2000-01-11 06:00:00,0.5827007,2000-01-11 06:00:00
2000-01-11 12:00:00,0.56025624,2000-01-11 12:00:00
2000-01-11 18:00:00,0.53234684,2000-01-11 18:00:00
2000-01-12 00:00:00,0.51439476,2000-01-12 00:00:00
