time,u10,v10,mag,time
2000-01-01 00:00:00,-1.1049172,-4.176602,4.320283,2000-01-01 00:00:00
2000-01-01 06:00:00,-1.4673089,-4.178942,4.429058,2000-01-01 06:00:00
2000-01-01 12:00:00,-2.1549084,-3.9497087,4.4993143,2000-01-01 12:00:00
2000-01-01 18:00:00,-1.7546573,-3.5425754,3.9533103,2000-01-01 18:00:00
2000-01-02 00:00:00,-2.2280743,-3.2800648,3.9652417,2000-01-02 00:00:00
2000-01-02 06:00:00,-1.6464292,-3.6701822,4.0225573,2000-01-02 06:00:00
2000-01-02 12:00:00,-1.726805,-3.3520596,3.7706974,2000-01-02 12:00:00
2000-01-02 18:00:00,-1.7245656,-3.5939765,3.9863257,2000-01-02 18:00:00
2000-01-03 00:00:00,-2.3399913,-3.7567768,4.4259386,2000-01-03 00:00:00
2000-01-03 06:00:00,-2.212754,-3.7014725,4.3124447,2000-01-03 06:00:00
2000-01-03 12:00:00,-2.77549,-3.291409,4.305429,2000-01-03 12:00:00
2000-01-03 18:00:00,-2.87172,-2.3063664,3.6832192,2000-01-03 18:00:00
2000-01-04 00:00:00,-3.6040905,-2.2053652,4.225293,2000-01-04 00:00:00
2000-01-04 06:00:00,-2.9212534,-1.5223377,3.2941213,2000-01-04 06:00:00
2000-01-04 12:00:00,-2.2693381,-1.443964,2.6897821,2000-01-04 12:00:00
2000-01-04 18:00:00,-2.1680999,-0.8457179,2.3272076,2000-01-04 18:00:00
2000-01-05 00:00:00,-2.233636,-1.298661,2.5837278,2000-01-05 00:00:00
2000-01-05 06:00:00,-1.518117,-1.2180035,1.9463329,2000-01-05 06:00:00
2000-01-05 12:00:00,-0.8163713,-0.70958203,1.081651,2000-01-05 12:00:00
2000-01-05 18:00:00,-0.29897043,-0.4600923,0.5486969,2000-01-05 18:00:00
2000-01-06 00:00:00,0.57873523,-0.026148347,0.5793256,2000-01-06 00:00:00
2000-01-06 06:00:00,1.7030483,-0.75319237,1.8621687,2000-01-06 06:00:00
2000-01-06 12:00:00,2.1059437,-1.7139633,2.715266,2000-01-06 12:00:00
2000-01-06 18:00:00,2.3898594,-1.9911368,3.1106355,2000-01-06 18:00:00
2000-01-07 00:00:00,0.65356934,-2.2772887,2.3692186,2000-01-07 00:00:00
2000-01-07 06:00:00,-0.055327475,-3.126908,3.1273975,2000-01-07 06:00:00
2000-01-07 12:00:00,-2.2813058,-3.4060993,4.0994964,2000-01-07 12:00:00
2000-01-07 18:00:00,-1.1422341,-4.3437705,4.491441,2000-01-07 18:00:00
2000-01-08 00:00:00,-1.0462452,-4.9550004,5.064253,2000-01-08 00:00:00
2000-01-08 06:00:00,-1.5630758,-4.8496747,5.095346,2000-01-08 06:00:00
2000-01-08 12:00:00,-3.110761,-4.484661,5.4579315,2000-01-08 12:00:00
2000-01-08 18:00:00,-2.3544858,-3.9752824,4.6202245,2000-01-08 18:00:00
2000-01-09 00:00:00,-2.0880282,-3.9656076,4.48173,2000-01-09 00:00:00
2000-01-09 06:00:00,-1.0509707,-3.9319162,4.0699515,2000-01-09 06:00:00
2000-01-09 12:00:00,-1.1638283,-3.9018874,4.071759,2000-01-09 12:00:00
2000-01-09 18:00:00,-1.9374923,-2.9292269,3.5120144,2000-01-09 18:00:00
2000-01-10 00:00:00,-2.0145612,-2.480199,3.1952848,2000-01-10 00:00:00
2000-01-10 06:00:00,-1.1487844,-2.2107542,2.491413,2000-01-10 06:00:00
2000-01-10 12:00:00,-1.9848517,-2.1425934,2.920675,2000-01-10 12:00:00
2000-01-10 18:00:00,-1.8388709,-0.9767865,2.0822003,2000-01-10 18:00:00
2000-01-11 00:00:00,-1.3242009,-1.2008165,1.7875873,2000-01-11 00:00:00
2000-01-11 06:00:00,-1.1395726,-1.2162503,1.6667005,2000-01-11 06:00:00
2000-01-11 12:00:00,-1.6451098,-1.3752638,2.1442332,2000-01-11 12:00:00
2000-01-11 18:00:00,-1.3515936,-1.0105494,1.6876065,2000-01-11 18:00:00
2000-01-12 00:00:00,-2.3665156,-1.2237303,2.6641908,2000-01-12 00:00:00
2000-01-12 06:00:00,-2.0676172,-1.8040045,2.7439885,2000-01-12 06:00:00
2000-01-12 12:00:00,-1.6493351,-2.5941021,3.074032,2000-01-12 12:00:00
2000-01-12 18:00:00,-0.6950338,-2.9177034,2.999344,2000-01-12 18:00:00
2000-01-13 00:00:00,-0.958108,-3.566086,3.692552,2000-01-13 00:00:00
2000-01-13 06:00:00,-0.37332362,-4.5100746,4.5254993,2000-01-13 06:00:00
2000-01-13 12:00:00,-0.7369231,-5.0669465,5.120254,2000-01-13 12:00:00
2000-01-13 18:00:00,-0.4797258,-4.8392615,4.8629813,2000-01-13 18:00:00
2000-01-14 00:00:00,-1.3419296,-4.578668,4.7712655,2000-01-14 00:00:00
2000-01-14 06:00:00,-0.68675786,-5.161585,5.207072,2000-01-14 06:00:00
2000-01-14 12:00:00,-0.7762641,-4.770506,4.833251,2000-01-14 12:00:00
2000-01-14 18:00:00,-0.182283,-4.262891,4.266786,2000-01-14 18:00:00
2000-01-15 00:00:00,-0.9077068,-3.5995104,3.712197,2000-01-15 00:00:00
2000-01-15 06:00:00,-0.5142621,-3.9927456,4.0257277,2000-01-15 06:00:00
2000-01-15 12:00:00,-0.3839653,-3.6349657,3.6551888,2000-01-15 12:00:00
2000-01-15 18:00:00,-0.29296798,-3.396592,3.4092033,2000-01-15 18:00:00
2000-01-16 00:00:00,-0.99936986,-3.341189,3.4874465,2000-01-16 00:00:00
2000-01-16 06:00:00,-0.7798592,-3.5239933,3.6092532,2000-01-16 06:00:00
2000-01-16 12:00:00,-0.69772935,-3.8386474,3.9015431,2000-01-16 12:00:00
2000-01-16 18:00:00,-0.99658203,-3.0987146,3.255028,2000-01-16 18:00:00
2000-01-17 00:00:00,-0.55599046,-2.4587226,2.5208018,2000-01-17 00:00:00
2000-01-17 06:00:00,-0.05978472,-1.8887161,1.889662,2000-01-17 06:00:00
2000-01-17 12:00:00,-0.5116793,-1.9687577,2.034164,2000-01-17 12:00:00
2000-01-17 18:00:00,-0.5859328,-2.7156212,2.7781136,2000-01-17 18:00:00
2000-01-18 00:00:00,-0.48127866,-2.9790227,3.0176492,2000-01-18 00:00:00
2000-01-18 06:00:00,-0.072493896,-3.8622947,3.8629751,2000-01-18 06:00:00
2000-01-18 12:00:00,-1.0909325,-5.004002,5.12154,2000-01-18 12:00:00
2000-01-18 18:00:00,-1.9618406,-5.4479713,5.790441,2000-01-18 18:00:00
2000-01-19 00:00:00,-2.898985,-5.6375637,6.339262,2000-01-19 00:00:00
2000-01-19 06:00:00,-2.0624785,-6.108542,6.447333,2000-01-19 06:00:00
2000-01-19 12:00:00,-2.1211488,-6.384436,6.727577,2000-01-19 12:00:00
2000-01-19 18:00:00,-1.9430974,-6.465091,6.75078,2000-01-19 18:00:00
2000-01-20 00:00:00,-2.6473746,-6.925895,7.414622,2000-01-20 00:00:00
2000-01-20 06:00:00,-2.5618434,-6.946583,7.4039216,2000-01-20 06:00:00
2000-01-20 12:00:00,-2.616938,-7.1081924,7.5746136,2000-01-20 12:00:00
2000-01-20 18:00:00,-1.462386,-7.6788116,7.816823,2000-01-20 18:00:00
